"","totalEntropies$V4","totalEntropies$V4.1","totalEntropies$V4.2","totalEntropies$V4.3","totalEntropies$V4.4","totalEntropies$V4.5","totalEntropies$V4.6","totalEntropies$V4.7","totalEntropies$V4.8","totalEntropies$V4.9","totalEntropies$V4.10","totalEntropies$V4.11","totalEntropies$V4.12","totalEntropies$V4.13","totalEntropies$V4.14","totalEntropies$V4.15","totalEntropies$V4.16","totalEntropies$V4.17","totalEntropies$V4.18","totalEntropies$V4.19","totalEntropies$V4.20","totalEntropies$V4.21","totalEntropies$V4.22","totalEntropies$V4.23","totalEntropies$V4.24","totalEntropies$V4.25","totalEntropies$V4.26","totalEntropies$V4.27","totalEntropies$V4.28","totalEntropies$V4.29","totalEntropies$V4.30","totalEntropies$V4.31","totalEntropies$V4.32","totalEntropies$V4.33","totalEntropies$V4.34","totalEntropies$V4.35","totalEntropies$V4.36","totalEntropies$V4.37","totalEntropies$V4.38","totalEntropies$V4.39","totalEntropies$V4.40","totalEntropies$V4.41","totalEntropies$V4.42","totalEntropies$V4.43","totalEntropies$V4.44","totalEntropies$V4.45","totalEntropies$V4.46","totalEntropies$V4.47","totalEntropies$V4.48","totalEntropies$V4.49"
"49",0.697741152101215,0.705109679629566,0.638688672423257,0.649189065706196,0.672579300157843,0.651102785508037,0.755346552392173,0.601864628320665,0.686210300254168,0.641221359133445,0.663777389653288,0.662805400997634,0.678171026538746,0.672364012249884,0.640196783819402,0.674931926011588,0.699823052474081,0.67921300925181,0.649854995008723,0.615833556094795,0.647163529354657,0.69287464976113,0.660469469417962,0.696541688014024,0.653856223095114,0.648611278321602,0.65419620861129,0.660383104216912,0.653996597150538,0.720834447383989,0.690516632599768,0.669259743507877,0.653605471808257,0.659525415099837,0.680471915160674,0.644524929454453,0.675487659004095,0.656748335971834,0.638597786285922,0.668073901984034,0.62247692637491,0.623372975824128,0.689585687838712,0.666843642968251,0.710888537327572,0.623559252207663,0.636683586209479,0.656789188843847,0.613524209002437,0.668572601639485
"50",0.682577092643924,0.692114725074806,0.625651372353182,0.635080192291255,0.660292181356372,0.637461240951758,0.74049797168138,0.591141402902798,0.67313394459208,0.629662539349,0.650216640448658,0.647357612515528,0.66330578641135,0.660770650310129,0.627700207316409,0.661385573937872,0.684602150732217,0.667195219587118,0.636707392047951,0.603374261101847,0.633974811927914,0.678745594902283,0.648582348289632,0.683590297561759,0.639522829967121,0.633754570102058,0.639639983486497,0.646505054643256,0.639627659241988,0.704756049538804,0.677759084418665,0.656357094697406,0.641887255840551,0.648041314794006,0.66752214513274,0.632588872716785,0.661249337759837,0.64436298919472,0.626636228602279,0.654751847274036,0.609266734897703,0.608710416674313,0.676669292429666,0.65446395414597,0.696013219126088,0.610356579275948,0.62418638437165,0.642493358563378,0.601367241990555,0.656734523850357
"51",0.667413033186633,0.679119770520047,0.611057597206759,0.62348624525092,0.648005062554901,0.623819696395479,0.725649390970587,0.58041817748493,0.660057588929991,0.617096612468648,0.636655891244028,0.631909824033422,0.648440546283955,0.648167171654941,0.61371171072551,0.646658943293202,0.669381248990353,0.655177429922426,0.621990145356331,0.591913527099813,0.620786094501171,0.661551705212884,0.636695227161302,0.670638907109493,0.625189436839127,0.621546090854617,0.625083758361704,0.635100786772392,0.625258721333437,0.688677651693618,0.665001536237562,0.64191404632687,0.629148044764994,0.635556617617232,0.654572375104807,0.620652815979118,0.647011016515579,0.631977642417605,0.614674670918636,0.639839321683532,0.596056543420497,0.596661479153993,0.664788092720377,0.642084265323689,0.679361991655897,0.595577688013065,0.611689182533822,0.630745779979688,0.589210274978673,0.644896446061228
"52",0.65495198848847,0.666124815965288,0.596463822060335,0.611892298210585,0.63571794375343,0.610178151839199,0.710800810259793,0.569694952067063,0.646981233267902,0.604530685588296,0.623095142039399,0.61810959401483,0.636225055953143,0.634059010258951,0.599723214134611,0.631932312648532,0.654160347248489,0.643159640257735,0.607272898664711,0.580452793097779,0.607597377074428,0.644357815523486,0.624808106032972,0.657687516657228,0.610856043711134,0.609337611607175,0.610527533236911,0.623696518901528,0.61345106665839,0.675465250701127,0.652243988056459,0.627470997956334,0.614887946356563,0.623071920440458,0.640076579888791,0.608716759241451,0.635310695902143,0.619592295640491,0.601670916034418,0.624926796093028,0.582846351943291,0.584612541633673,0.652906893011088,0.629704576501409,0.662710764185706,0.580798796750182,0.599191980695993,0.618998201395998,0.577053307966791,0.6330583682721
"53",0.642490943790307,0.653129861410528,0.581870046913911,0.60029835117025,0.623430824951959,0.598968231636331,0.694179512370498,0.558037423959929,0.633904877605814,0.591964758707943,0.607915425100639,0.602661805532724,0.62400956562233,0.619950848862961,0.585734717543712,0.617205682003861,0.638939445506625,0.631141850593043,0.592555651973091,0.568992059095745,0.594408659647685,0.627163925834088,0.612920984904641,0.643607685977536,0.59652265058314,0.596065421158277,0.595971308112118,0.612292251030665,0.601643411983342,0.659386852855941,0.639486439875356,0.613027949585798,0.600627847948131,0.610587223263684,0.625580784672775,0.595740727172233,0.623610375288707,0.605728308081397,0.587114690909625,0.610014270502524,0.571990895531214,0.572563604113353,0.641025693301798,0.617324887679128,0.649027641248228,0.566019905487299,0.586694778858164,0.606227069372424,0.563444965589129,0.620188851948098
"54",0.630029899092144,0.640134906855769,0.567276271767488,0.588704404129916,0.611143706150488,0.586781603569563,0.677558214481204,0.546379895852795,0.619689193636727,0.577898632254415,0.592735708161879,0.587214017050618,0.611794075291518,0.608357486923206,0.571746220952814,0.60072089334842,0.623718543764761,0.61651719580407,0.580461775041608,0.557531325093711,0.57964538998594,0.613034870975241,0.599998152149908,0.629527855297843,0.582189257455146,0.582793230709378,0.581415082987324,0.600887983159801,0.589835757308294,0.643308455010756,0.626728891694253,0.601159394742032,0.5863677495397,0.59810252608691,0.611084989456758,0.582764695103015,0.611910054675272,0.591864320522304,0.575153133225982,0.597759923408387,0.561135439119137,0.559464856084595,0.629144493592509,0.603467233557187,0.63534451831075,0.553875372215403,0.572705582276015,0.591931239091956,0.552262329230207,0.607319335624096
"55",0.617568854393981,0.626007716381845,0.555283857405969,0.577110457089581,0.597786024370791,0.574594975502795,0.663899686135062,0.534722367745661,0.603776351692278,0.563832505800887,0.580261796950168,0.571766228568512,0.596928835164123,0.596764124983452,0.560251193399655,0.584236104692979,0.611210788998571,0.601892541015097,0.567314172080836,0.546070591091677,0.564882120324194,0.598905816116393,0.585532510148592,0.613767085664966,0.57041081165392,0.569521040260479,0.569453525303682,0.589483715288937,0.576999314830424,0.630096054018264,0.612859792546946,0.589290839898266,0.572107651131269,0.585617828910135,0.596589194240742,0.569788663033797,0.600209734061836,0.57800033296321,0.563191575542339,0.58550557631425,0.549334158878521,0.546366108055836,0.616228098183463,0.592079725620308,0.621661395373272,0.541730838943507,0.558716385693866,0.577635408811487,0.541079692871285,0.594449819300094
"56",0.60240479493669,0.611880525907922,0.543291443044451,0.56450634235465,0.584428342591093,0.562408347436027,0.649051105424268,0.521673090437921,0.589560667723192,0.549766379347359,0.567787885738457,0.557965998549919,0.583649022763967,0.585170763043697,0.548756165846497,0.570689752619264,0.598703034232381,0.587267886226124,0.554166569120064,0.533611296098728,0.550118850662449,0.584776761257547,0.571066868147277,0.598006316032088,0.558632365852694,0.554664332040935,0.557491967620039,0.578079447418073,0.564162872352553,0.615732471240638,0.598990693399639,0.5774222850545,0.560389435163563,0.571642629874313,0.584677294750309,0.556812630964579,0.5885094134484,0.564136345404116,0.551230017858696,0.570593050723746,0.537532878637905,0.531703548906021,0.603311702774417,0.58069221768343,0.606786077171789,0.529586305671611,0.544727189111716,0.563339578531019,0.529897056512363,0.581580302976092
"57",0.587240735479399,0.596066742369997,0.531299028682933,0.55190222761972,0.571070660811395,0.55022171936926,0.632429807534973,0.508623813130181,0.575344983754105,0.535700252893831,0.554227136533827,0.544165768531327,0.570369210363811,0.572567284388509,0.536259589343503,0.557143400545548,0.586195279466191,0.575250096561432,0.541018966159292,0.519664531919586,0.535355581000703,0.569416657582975,0.556601226145961,0.582245546399211,0.546853920051468,0.539807623821391,0.545530409936396,0.56667517954721,0.551326429874682,0.599654073395452,0.585121594252333,0.564519636244029,0.548671219195857,0.557667430838491,0.572765395259876,0.54228743837922,0.575789656929403,0.550272357845022,0.539268460175053,0.555680525133242,0.524322687160699,0.517040989756205,0.588853266649702,0.569304709746551,0.590134849701598,0.517441772399715,0.533231586341725,0.551591999947328,0.518714420153441,0.569742225186963
"58",0.574779690781236,0.580252958832072,0.519306614321415,0.537793354204778,0.557712979031698,0.538035091302492,0.615808509645678,0.495574535822441,0.561129299785019,0.524141433109386,0.540666387329197,0.530365538512735,0.557089397963654,0.559963805733321,0.52376301284051,0.542416769900878,0.573687524700001,0.56323230689674,0.526301719467672,0.505717767740443,0.523223884757743,0.552222767893577,0.542135584144646,0.569294155946945,0.535075474250241,0.524950915601847,0.533568852252753,0.555270911676346,0.538489987396811,0.583575675550266,0.569596714610739,0.551616987433558,0.536953003228151,0.543692231802669,0.560853495769443,0.527762245793861,0.563069900410405,0.536408370285929,0.526264705290835,0.540767999542738,0.511112495683492,0.50237843060639,0.574394830524987,0.556925020924271,0.573483622231406,0.504239099468,0.521735983571733,0.539844421363638,0.507531783794519,0.557904147397835
