"","Reductions","values"
"1",0,1
"2",1,0.987312658490758
"3",2,0.973422853168064
"4",3,0.962855107849398
"5",4,0.949105430056393
"6",5,0.93647722114128
"7",6,0.923854625773461
"8",7,0.913956566428437
"9",8,0.901776253669753
"10",9,0.889752973364536
"11",10,0.877143993868331
"12",11,0.86540019399703
"13",12,0.854255356284479
"14",13,0.843519510771641
"15",14,0.833308236501577
"16",15,0.823491663874953
"17",16,0.814821191500514
"18",17,0.804739012980783
"19",18,0.790684575892821
"20",19,0.781174063054865
"21",20,0.770105425341024
"22",21,0.76302432154565
"23",22,0.751083674795338
"24",23,0.739891578107237
"25",24,0.729997872706259
"26",25,0.717892607249761
"27",26,0.710844396057617
"28",27,0.699602939183783
"29",28,0.690626263930222
"30",29,0.677462624942478
"31",30,0.666561300577337
"32",31,0.655388208202864
"33",32,0.643406403561562
"34",33,0.630425642785444
"35",34,0.621521617168716
"36",35,0.610584974857611
"37",36,0.601041525165109
"38",37,0.591525125919588
"39",38,0.580311818580249
"40",39,0.569930108658353
"41",40,0.560520939006362
"42",41,0.546992332512297
"43",42,0.536357150198751
"44",43,0.52619441392644
"45",44,0.517069169301563
"46",45,0.504962330563872
"47",46,0.497026287429735
"48",47,0.485305348414273
"49",48,0.476127170351666
"50",49,0.465683342380018
"51",50,0.452860505208466
"52",51,0.441729861620695
"53",52,0.431414522264205
"54",53,0.418678455024234
"55",54,0.407701677841634
"56",55,0.396103754236198
"57",56,0.387168074735342
"58",57,0.379025719039353
"59",58,0.368173981039415
"60",59,0.357044108750159
"61",60,0.346110842048084
"62",61,0.337269736420496
"63",62,0.327257873977626
"64",63,0.317680956551334
"65",64,0.30661072814761
"66",65,0.297604240091699
"67",66,0.287442262046324
"68",67,0.278505011338151
"69",68,0.2698993950047
"70",69,0.259820811428913
"71",70,0.252307880310013
"72",71,0.243407000411076
"73",72,0.235918692138952
"74",73,0.225658606488525
"75",74,0.218622593836006
"76",75,0.210345612635534
"77",76,0.201545234007111
"78",77,0.191431494446291
"79",78,0.18299806945461
"80",79,0.173586160628735
"81",80,0.16465109227552
"82",81,0.157058505551548
"83",82,0.147805540352858
"84",83,0.137883661466276
"85",84,0.130535526518932
"86",85,0.121295044690837
"87",86,0.112194859046808
"88",87,0.106064622306983
"89",88,0.0977852053855903
"90",89,0.0883880571801247
"91",90,0.0796570314508374
"92",91,0.0722750480828452
"93",92,0.0654289561807502
"94",93,0.0579466349840582
"95",94,0.0503809928168931
"96",95,0.0423890376117635
"97",96,0.03429279752696
"98",97,0.0259390885276752
"99",98,0.0157846919358343
"100",99,0.00749848461343572
"101",100,0
