"","attributes$outlinks","attributes$outlinks.1","attributes$outlinks.2","attributes$outlinks.3","attributes$outlinks.4","attributes$outlinks.5","attributes$outlinks.6","attributes$outlinks.7","attributes$outlinks.8","attributes$outlinks.9","attributes$outlinks.10","attributes$outlinks.11","attributes$outlinks.12","attributes$outlinks.13","attributes$outlinks.14","attributes$outlinks.15","attributes$outlinks.16","attributes$outlinks.17","attributes$outlinks.18","attributes$outlinks.19","attributes$outlinks.20","attributes$outlinks.21","attributes$outlinks.22","attributes$outlinks.23","attributes$outlinks.24","attributes$outlinks.25","attributes$outlinks.26","attributes$outlinks.27","attributes$outlinks.28","attributes$outlinks.29","attributes$outlinks.30","attributes$outlinks.31","attributes$outlinks.32","attributes$outlinks.33","attributes$outlinks.34","attributes$outlinks.35","attributes$outlinks.36","attributes$outlinks.37","attributes$outlinks.38","attributes$outlinks.39","attributes$outlinks.40","attributes$outlinks.41","attributes$outlinks.42","attributes$outlinks.43","attributes$outlinks.44","attributes$outlinks.45","attributes$outlinks.46","attributes$outlinks.47","attributes$outlinks.48","attributes$outlinks.49"
"1",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"6",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1
"7",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1
"8",3,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"9",3,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2
"10",2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2
"11",1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,3,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2
"12",2,2,2,1,2,1,2,3,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,1
"13",2,3,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,3,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1
"14",2,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,2,1
"15",4,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,3,2,2,2,2,2,1,1,2,4,2,2,1,2,2,2,1,1,1,2,3,2,2,2,1,1,1,2,3,1
"16",3,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,3,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,3,1,2,2,1
"17",2,4,1,2,1,2,3,2,1,2,2,2,1,2,2,2,1,2,2,2,3,1,1,1,2,1,2,2,1,3,2,2,1,2,2,2,2,1,1,3,2,1,1,1,2,2,1,2,1,2
"18",2,2,1,2,1,3,1,2,1,3,3,2,1,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,3,3,1,2,1,2,2,1,2,2,1,1,1,2,3,1,2,1,2
"19",3,3,2,3,1,2,1,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,1,1,2,3,1,1,1,2,3,1,1,2,2,1,1,2,3,2,2,1,3
"20",3,3,2,2,1,3,1,3,3,1,1,1,2,2,3,1,2,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,3,2,1,1,2,2,2,1,2,3,2,1,3,2,2,2,1,2
"21",2,2,2,2,1,2,3,3,3,1,2,3,3,3,2,1,2,3,3,3,3,2,2,2,3,1,1,2,3,2,2,3,3,2,1,2,2,3,3,1,2,2,2,2,3,2,2,1,2,2
"22",2,2,3,2,1,3,2,3,2,1,2,2,3,2,2,1,4,3,2,2,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,2,2,4,2,4,3,2,3,2,2,3,1,2,2
"23",2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,3,3,3,2,2,4,2,2,3,3,2,2,2,3,2,2,2,3,2,3,3,2,2,2,3,2,1,2,2
"24",3,2,3,2,2,2,2,2,4,2,2,2,3,3,2,3,2,2,3,3,2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,3,2
"25",3,2,3,2,2,2,2,4,3,3,3,2,2,2,2,2,2,2,4,3,2,2,2,3,2,2,3,2,2,2,3,2,2,3,3,3,3,2,3,2,2,2,3,2,3,2,3,3,3,3
"26",3,2,3,3,2,2,2,2,2,4,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,4,3,2,2,2,2
"27",4,2,3,3,2,2,3,2,2,2,3,3,3,3,3,3,2,3,3,2,2,2,2,2,3,4,2,3,2,2,2,4,3,4,3,4,2,2,2,3,3,2,3,2,3,4,2,2,2,3
"28",5,2,2,3,2,2,2,2,2,2,3,2,2,3,2,3,2,3,2,2,3,2,2,2,3,3,3,3,2,3,2,3,3,2,3,4,3,3,2,2,3,3,3,3,3,3,2,3,3,3
"29",3,2,2,4,2,2,2,4,3,2,2,2,2,2,2,3,2,3,2,2,4,2,2,2,3,2,2,3,2,2,2,3,2,2,3,3,3,2,3,2,4,3,2,2,3,3,3,3,3,3
"30",3,2,3,3,2,2,2,3,2,3,2,3,2,2,2,2,2,2,3,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,2,4,3,2,2,2,3,2,2,3,3,3,2,3,3,3
"31",3,2,3,3,2,2,2,3,2,3,3,4,2,2,2,2,2,3,3,3,3,3,3,2,2,2,3,3,3,4,2,3,2,4,2,3,2,3,3,3,3,3,2,4,3,3,2,3,2,3
"32",3,4,2,3,2,3,2,2,2,4,3,4,2,3,3,2,3,3,2,4,3,4,3,2,2,3,4,3,2,4,3,3,4,3,3,2,3,3,3,2,3,3,3,3,3,3,2,2,2,3
"33",3,3,3,3,2,3,3,2,3,4,3,5,3,3,3,3,2,4,2,3,3,4,4,3,2,3,3,3,2,4,4,3,3,3,3,4,3,4,3,3,3,3,3,3,3,2,3,2,2,3
"34",2,3,3,2,3,3,2,2,3,3,4,4,3,3,3,2,2,3,3,3,4,3,4,4,2,3,4,2,2,2,2,4,3,4,2,3,3,3,3,3,3,4,4,3,2,2,4,2,3,3
"35",2,1,2,2,3,3,3,4,4,2,4,1,3,3,3,2,2,1,5,3,3,1,4,3,2,3,3,2,2,5,3,3,4,3,2,3,3,3,3,2,3,3,3,4,3,4,3,3,3,3
"36",4,1,2,2,3,1,3,3,3,2,3,1,5,3,1,4,3,1,3,3,4,1,4,3,3,3,2,2,3,2,3,4,4,1,3,3,3,2,3,3,3,4,3,2,3,3,4,2,3,3
"37",3,1,4,3,2,1,3,3,3,3,3,1,2,3,1,3,3,1,4,2,2,1,4,3,4,3,3,3,3,2,3,3,2,1,3,3,2,2,2,3,2,4,2,2,3,4,3,2,3,2
"38",3,4,3,3,2,1,2,3,3,3,2,2,4,2,1,4,3,1,4,2,3,1,4,3,2,3,3,3,2,2,2,3,2,4,3,4,2,2,4,3,2,2,4,3,3,1,3,3,3,3
"39",5,4,4,4,2,1,3,2,4,3,5,2,5,3,1,3,2,1,3,2,3,1,3,2,3,3,3,1,4,2,2,3,3,4,3,3,3,2,4,5,3,2,4,4,1,1,3,3,4,4
"40",5,3,1,3,2,1,1,5,4,3,3,2,3,3,1,3,4,1,3,2,3,2,3,3,3,3,4,1,3,3,2,5,3,5,3,1,4,3,3,1,3,3,5,3,1,1,2,3,1,3
"41",4,3,1,4,1,4,1,3,3,1,3,3,4,4,1,4,3,4,5,2,1,4,3,4,1,3,4,1,1,3,3,4,3,4,3,1,3,3,3,4,4,4,3,1,1,3,3,3,1,3
"42",5,3,1,2,1,5,1,4,3,1,3,3,3,3,4,2,3,4,3,3,1,4,4,1,1,3,4,1,1,4,1,4,4,4,3,1,1,3,1,4,3,3,4,1,3,2,4,5,1,4
"43",5,3,4,3,1,3,4,3,3,1,1,4,3,3,4,4,1,3,4,3,4,2,4,1,1,5,1,4,1,4,1,5,4,4,3,1,1,1,1,5,1,4,5,1,3,5,3,2,4,1
"44",5,2,2,3,4,3,2,5,2,1,1,2,3,1,4,3,4,3,4,4,3,4,1,4,4,1,1,3,1,4,1,5,1,3,5,4,4,1,1,4,1,3,5,1,4,4,3,1,3,4
"45",1,2,2,3,4,4,4,5,3,1,4,2,2,4,2,4,2,2,4,3,3,3,1,4,4,4,1,4,3,5,1,5,1,5,5,5,2,5,1,4,4,1,5,1,4,2,1,1,4,4
"46",4,2,4,3,3,3,2,1,3,1,5,2,4,5,2,1,3,4,5,4,3,3,1,2,4,4,4,3,4,4,3,3,5,4,1,3,2,3,3,4,3,1,3,3,4,2,2,4,2,2
"47",4,3,5,2,3,2,2,1,3,4,2,2,4,4,5,1,2,4,5,1,2,3,1,2,6,5,3,4,4,3,3,2,3,3,5,3,4,3,2,3,3,1,4,4,3,5,3,3,4,4
"48",2,2,2,4,2,5,2,1,5,2,2,2,5,3,2,4,2,2,5,1,4,2,4,2,6,2,3,2,3,5,3,2,3,3,3,3,2,2,4,5,3,1,5,4,2,4,2,4,5,3
"49",3,2,2,3,3,2,2,4,4,3,5,5,4,2,2,4,2,2,3,1,2,2,4,2,2,5,4,2,3,4,4,2,2,3,5,3,2,4,2,2,2,4,2,2,4,2,2,4,6,4
"50",3,2,2,4,3,2,2,5,3,2,4,2,4,4,2,4,2,4,4,4,4,3,3,2,2,2,3,2,3,2,3,2,3,5,2,3,2,4,2,4,2,2,4,2,3,2,4,4,2,3
"51",2,2,4,4,2,2,6,4,3,5,4,2,3,4,3,2,2,4,4,2,5,2,6,2,2,3,4,2,2,4,2,5,3,2,5,4,2,3,2,2,4,3,3,5,2,4,4,2,2,2
"52",2,3,4,4,2,4,3,4,2,2,3,5,5,4,2,3,2,4,4,3,3,3,4,3,2,4,2,2,2,3,2,2,5,2,2,2,2,3,2,3,4,2,3,2,2,4,4,5,2,2
"53",5,4,3,3,2,4,3,3,3,2,2,3,3,6,2,4,2,3,2,4,4,5,4,3,2,3,2,4,5,4,2,4,2,2,2,2,4,4,2,2,3,4,2,2,2,4,4,2,2,2
"54",2,4,3,3,3,4,2,3,4,2,2,5,3,2,2,5,3,4,3,2,3,2,6,2,2,3,2,4,2,4,5,5,3,2,5,4,4,2,2,4,5,3,2,4,2,4,2,5,5,3
"55",2,3,5,4,4,3,2,2,4,2,4,2,2,5,2,5,4,4,5,5,3,2,5,3,3,3,2,3,5,4,2,4,4,2,3,2,4,2,5,3,2,3,2,3,2,4,3,4,5,5
"56",2,3,2,2,3,3,3,2,4,2,4,2,2,5,2,6,3,4,5,3,3,2,4,5,3,5,3,2,3,2,4,3,3,5,3,2,2,3,4,3,2,2,3,3,2,3,3,4,2,5
"57",4,2,4,2,2,2,3,2,4,2,4,3,6,2,2,3,4,3,2,5,5,2,6,3,2,3,4,2,3,2,5,5,2,4,3,2,3,5,4,3,2,6,3,2,2,3,3,3,2,3
"58",7,2,3,2,3,2,3,4,4,2,2,4,5,3,2,4,5,2,2,2,5,2,5,3,3,2,3,3,3,3,3,4,2,3,3,2,3,3,3,3,5,6,3,4,2,3,4,2,2,5
"59",5,3,5,2,3,3,6,2,5,4,3,4,3,4,3,3,3,2,2,2,2,2,3,4,5,2,4,3,2,3,5,2,2,7,5,5,3,5,4,2,3,3,4,4,2,5,3,3,3,6
"60",4,3,4,3,4,5,4,2,3,3,4,4,3,4,3,3,4,2,5,2,2,4,3,4,4,5,5,3,2,3,3,2,5,3,4,3,4,5,3,5,5,3,3,5,5,2,3,3,3,4
