"","k","k.1","k.2","k.3","k.4","k.5","k.6","k.7","k.8","k.9","k.10","k.11","k.12","k.13","k.14","k.15","k.16","k.17","k.18","k.19","k.20","k.21","k.22","k.23","k.24","k.25","k.26","k.27","k.28","k.29","k.30","k.31","k.32","k.33","k.34","k.35","k.36","k.37","k.38","k.39","k.40","k.41","k.42","k.43","k.44","k.45","k.46","k.47","k.48","k.49"
"1",1,2,3,2,2,1,1,2,3,2,3,4,1,4,2,1,3,1,2,3,1,3,3,3,2,2,1,2,1,4,2,1,2,4,1,1,2,2,4,2,3,1,2,1,2,2,1,2,3,2
"2",3,1,2,3,2,2,3,3,1,2,5,1,1,2,5,2,2,1,5,1,1,2,3,1,3,1,3,2,1,3,4,1,2,1,3,2,1,3,4,2,1,3,5,2,3,1,1,2,3,1
"3",5,1,5,1,3,3,4,2,1,4,1,1,4,2,2,4,1,1,2,2,1,3,2,2,1,1,1,6,3,1,1,4,1,1,4,3,2,4,3,3,1,1,1,2,2,5,3,2,4,3
"4",2,4,1,2,2,2,6,4,2,3,3,2,1,3,4,1,2,1,1,2,1,2,3,2,4,1,2,3,6,2,2,1,1,5,7,3,3,1,2,1,3,1,2,1,3,4,1,2,2,3
"5",2,1,6,3,2,1,1,5,2,1,3,1,4,4,1,4,2,4,1,3,1,1,1,3,1,3,1,2,2,1,1,2,2,1,1,2,2,1,1,2,3,4,2,3,4,5,2,2,3,3
"6",3,2,3,2,2,4,3,2,5,3,5,1,1,4,1,2,2,1,6,2,2,2,2,2,5,3,1,4,1,2,1,4,1,3,3,5,5,3,5,1,1,2,3,1,3,1,3,1,2,2
"7",1,3,2,2,1,3,2,1,3,1,2,1,1,2,1,3,2,4,2,2,2,4,4,4,2,2,1,3,2,2,1,1,3,3,3,1,2,2,2,3,1,2,1,2,3,1,3,2,1,4
"8",3,3,1,3,2,2,1,2,3,2,2,2,2,4,3,6,2,1,1,3,4,2,3,6,2,2,4,5,2,2,1,6,2,4,2,1,3,1,2,1,5,3,3,5,3,4,5,4,3,2
"9",3,4,5,1,2,1,1,4,2,2,3,2,3,2,4,2,2,3,3,2,4,2,2,1,2,3,1,2,1,1,1,2,3,3,1,3,2,3,1,3,4,2,1,3,1,2,4,4,2,1
"10",2,2,1,4,4,4,3,2,2,1,2,2,2,4,2,1,3,1,1,4,3,1,1,2,5,4,2,3,2,3,2,1,1,1,1,2,1,4,2,5,3,3,2,3,1,4,4,4,3,2
"11",2,2,1,6,1,1,3,1,3,2,1,2,2,1,1,3,2,3,1,1,1,1,2,1,3,4,3,2,1,2,1,1,1,1,2,2,2,2,2,1,3,1,7,2,1,2,1,3,5,1
"12",3,5,3,4,5,1,4,2,2,3,2,2,4,1,2,3,3,1,4,2,2,4,2,4,4,1,1,1,2,3,3,1,3,1,2,3,4,4,4,1,3,3,1,1,1,3,2,1,3,1
"13",1,5,2,2,2,2,3,2,2,4,3,3,3,1,1,2,1,2,2,1,1,1,1,2,4,2,2,1,2,1,2,2,5,1,1,2,1,4,1,2,1,3,2,2,4,4,1,3,3,3
"14",3,1,1,1,4,2,1,1,2,1,5,2,3,2,1,5,3,1,2,1,1,4,1,1,3,2,2,1,2,2,5,1,1,3,3,4,2,1,4,2,1,1,1,4,2,2,2,1,3,3
"15",3,3,2,5,3,3,2,3,3,2,1,4,2,1,2,4,4,3,2,4,4,5,2,5,2,1,2,2,3,3,1,2,2,3,3,1,4,2,3,2,3,1,2,2,1,1,1,3,3,1
"16",4,2,2,4,2,3,1,1,3,2,2,1,1,3,4,1,4,1,1,3,4,1,6,2,3,3,1,2,1,4,1,2,3,3,2,2,3,5,2,3,2,2,1,2,1,6,4,3,1,1
"17",1,1,3,4,2,1,2,1,3,2,1,1,1,4,2,1,2,1,3,2,2,1,4,3,1,2,4,2,2,1,1,2,5,4,3,1,3,2,2,4,2,2,2,2,1,1,2,4,2,1
"18",2,3,5,2,1,2,1,2,2,1,1,5,1,2,3,4,2,2,5,1,3,4,1,3,4,2,4,1,2,5,4,1,1,3,2,3,2,2,2,3,1,2,2,2,2,4,3,1,4,4
"19",3,3,2,3,2,3,3,2,1,1,2,3,4,3,4,2,2,3,1,2,1,2,2,1,2,4,4,4,3,3,4,2,1,4,1,1,1,1,1,2,2,2,4,3,2,1,2,1,2,1
"20",2,2,4,2,1,2,2,1,1,1,1,1,2,4,4,2,1,4,1,1,1,1,1,3,2,2,3,2,5,4,3,2,4,1,1,3,4,3,1,1,7,2,3,1,1,3,3,1,1,2
"21",3,1,1,1,4,1,1,2,1,2,3,1,2,2,2,4,3,5,1,1,3,4,1,1,4,4,2,1,1,2,2,3,3,5,2,1,4,2,1,2,3,1,1,3,1,3,1,1,2,1
"22",2,2,2,2,2,2,2,1,3,3,1,3,2,6,1,2,1,2,1,1,3,2,3,1,2,2,1,2,1,2,2,4,4,3,4,7,4,1,1,3,3,2,2,1,3,2,1,2,3,1
"23",7,1,1,2,3,5,3,5,2,4,2,2,1,1,3,2,1,2,1,2,4,2,3,2,4,1,4,1,1,2,1,3,1,1,5,1,3,1,1,1,4,3,2,1,3,3,3,2,3,3
"24",3,2,1,2,4,1,2,1,3,1,2,5,3,2,1,3,1,1,2,1,1,1,4,2,3,1,1,2,1,1,4,1,4,1,1,1,2,2,2,2,3,3,2,3,2,2,1,1,2,1
"25",2,1,1,2,2,1,5,2,3,3,3,1,2,2,2,1,2,4,2,3,6,1,2,3,2,1,3,3,2,2,1,2,4,3,1,2,3,4,2,1,4,2,4,3,3,3,2,1,3,2
"26",1,2,4,1,2,2,5,1,5,1,3,4,4,3,1,5,1,6,3,1,1,2,3,2,3,4,3,2,5,1,1,3,5,1,1,5,2,3,1,3,2,2,3,1,3,3,2,2,3,2
"27",2,3,1,1,1,3,4,2,1,5,4,1,4,2,1,1,2,3,2,1,2,3,3,2,1,2,2,2,2,2,3,1,1,2,4,3,4,1,1,3,3,3,3,2,1,3,2,1,2,2
"28",1,1,1,2,2,2,1,1,4,3,3,2,4,1,2,2,1,1,2,1,1,1,4,2,3,3,1,2,2,1,3,3,3,1,1,1,4,1,3,1,1,4,2,2,3,5,1,4,1,3
"29",2,3,2,5,3,1,5,1,2,3,1,2,4,3,3,2,3,3,2,1,2,3,2,3,3,3,3,2,1,3,3,2,2,1,1,4,1,1,1,4,5,1,3,1,1,2,2,2,1,4
"30",4,2,1,5,2,1,7,3,7,1,1,1,2,5,2,1,1,3,2,1,2,2,1,2,2,2,2,4,2,4,1,4,3,3,4,1,3,2,2,1,2,2,1,2,1,1,1,3,2,1
"31",3,1,2,2,1,1,1,1,2,1,2,1,1,1,1,5,1,3,4,4,1,4,3,3,2,2,1,1,3,3,1,2,1,5,4,1,3,1,2,4,1,1,2,4,3,5,4,2,2,2
"32",3,2,1,4,2,3,2,3,1,2,2,3,1,1,5,3,5,3,3,1,2,4,1,2,1,2,3,4,1,3,5,1,1,1,2,1,3,1,3,2,2,1,5,3,5,4,5,4,2,4
"33",1,2,3,4,3,1,1,2,1,2,2,2,2,1,3,3,2,2,3,4,5,3,4,1,2,1,2,2,5,2,1,2,4,1,2,1,3,2,3,4,4,1,3,1,2,3,2,1,3,4
"34",2,2,2,2,1,3,3,3,4,4,1,1,1,5,2,1,1,1,2,2,1,4,2,2,4,1,2,1,8,2,2,1,1,3,3,2,4,3,4,3,2,2,2,2,3,2,2,3,5,2
"35",3,1,3,1,4,5,2,3,4,3,3,3,3,2,4,4,4,3,1,4,2,1,2,2,1,3,2,1,1,2,8,3,2,2,2,1,1,2,2,1,1,3,6,4,4,1,2,3,1,7
"36",3,4,3,2,1,1,5,2,1,1,2,4,2,3,2,1,3,3,2,4,2,1,2,2,2,4,4,2,3,1,1,4,3,2,2,2,5,3,4,2,5,2,1,1,1,2,1,2,3,2
"37",3,5,1,2,2,2,2,4,2,2,2,2,3,1,1,1,2,3,2,3,3,2,1,5,2,5,2,2,1,1,3,3,2,1,2,5,2,3,3,1,1,4,2,3,2,1,2,2,2,1
