"","Reductions","values"
"1",0,1
"2",1,0.988136217707501
"3",2,0.976024505603415
"4",3,0.960796095677401
"5",4,0.945015715328536
"6",5,0.931901706503776
"7",6,0.91656069066206
"8",7,0.904888765084368
"9",8,0.886974507481195
"10",9,0.873794763761119
"11",10,0.859580556853204
"12",11,0.849267536864475
"13",12,0.83444179300647
"14",13,0.822972958079899
"15",14,0.811940642344236
"16",15,0.797036651964617
"17",16,0.782933490434585
"18",17,0.771704651380436
"19",18,0.758600999300958
"20",19,0.747305306201114
"21",20,0.735723636628318
"22",21,0.724687396694493
"23",22,0.714153185357412
"24",23,0.701801564409441
"25",24,0.692325386038428
"26",25,0.678815745904603
"27",26,0.664524012342668
"28",27,0.653820976575428
"29",28,0.643493075198182
"30",29,0.630821422441815
"31",30,0.619604226283364
"32",31,0.609394662065052
"33",32,0.595678199180679
"34",33,0.583754446736373
"35",34,0.571860189389441
"36",35,0.557411876963606
"37",36,0.54425615477543
"38",37,0.533152919938742
"39",38,0.522819580859348
"40",39,0.512803586432656
"41",40,0.502314901468499
"42",41,0.489632478882783
"43",42,0.480029784595408
"44",43,0.471058724668863
"45",44,0.462706788839925
"46",45,0.452303483853054
"47",46,0.444301565615386
"48",47,0.435267627975444
"49",48,0.427494072210037
"50",49,0.418751082028896
"51",50,0.409355689472132
"52",51,0.398865889535462
"53",52,0.390361506259515
"54",53,0.381613626856024
"55",54,0.371269747597582
"56",55,0.362092704160446
"57",56,0.352617357214397
"58",57,0.343251499178641
"59",58,0.333043188892469
"60",59,0.324498415093254
"61",60,0.315911774839455
"62",61,0.306514373341625
"63",62,0.296002600739936
"64",63,0.287185718945399
"65",64,0.278915788763633
"66",65,0.268758638307555
"67",66,0.260886763478858
"68",67,0.253554442474084
"69",68,0.245757159430974
"70",69,0.236099173788489
"71",70,0.2250464765698
"72",71,0.215985444968724
"73",72,0.208129024811662
"74",73,0.200580062940122
"75",74,0.193473233548275
"76",75,0.186334700609532
"77",76,0.177576750271708
"78",77,0.169871617929404
"79",78,0.160441082331405
"80",79,0.152386035303004
"81",80,0.143685467373358
"82",81,0.136720511650267
"83",82,0.129585900794924
"84",83,0.122037859885404
"85",84,0.11619354862304
"86",85,0.106884201564783
"87",86,0.0989490649107858
"88",87,0.0924123837536523
"89",88,0.0846775750477684
"90",89,0.0777684912567708
"91",90,0.0701876391352411
"92",91,0.0623230598227016
"93",92,0.055912260398313
"94",93,0.0499053479092759
"95",94,0.0418481381738861
"96",95,0.0346647712328863
"97",96,0.0283373197327086
"98",97,0.0214093661004653
"99",98,0.0153662929829406
"100",99,0.00876891917466486
"101",100,0
