"","Reductions","values"
"1",0,1
"2",1,0.99724181232366
"3",2,0.993213151803649
"4",3,0.990039837018709
"5",4,0.987121022717477
"6",5,0.982715591306318
"7",6,0.978156770918428
"8",7,0.971646706413141
"9",8,0.964621638584513
"10",9,0.956612266600639
"11",10,0.947815044692528
"12",11,0.939605987963173
"13",12,0.931777046475167
"14",13,0.923721438507827
"15",14,0.91422458024845
"16",15,0.904151812338549
"17",16,0.8965196874724
"18",17,0.889691627988982
"19",18,0.881348574731718
"20",19,0.872710905929133
"21",20,0.865910840991296
"22",21,0.858938600016564
"23",22,0.850965872454903
"24",23,0.84187021146616
"25",24,0.833851128021387
"26",25,0.826697439155973
"27",26,0.820247621478818
"28",27,0.810837191690467
"29",28,0.80323052195749
"30",29,0.793487259712481
"31",30,0.783913041155728
"32",31,0.776872143232198
"33",32,0.767711726542065
"34",33,0.757547845780212
"35",34,0.748628528744962
"36",35,0.739669304215116
"37",36,0.73040846851207
"38",37,0.719924960413994
"39",38,0.709294561169336
"40",39,0.700864141638838
"41",40,0.688984382233423
"42",41,0.678609535865936
"43",42,0.670236551684937
"44",43,0.660634126058644
"45",44,0.651073541340499
"46",45,0.640619822231389
"47",46,0.630055352758162
"48",47,0.620234590093973
"49",48,0.610587893094148
"50",49,0.601102418656311
"51",50,0.590783981204194
"52",51,0.581154303660769
"53",52,0.571488051840306
"54",53,0.562476231109608
"55",54,0.55355072058121
"56",55,0.545832781216956
"57",56,0.537422561526687
"58",57,0.528209933316163
"59",58,0.519023540897909
"60",59,0.507253812415041
"61",60,0.497189256586693
"62",61,0.486044301029059
"63",62,0.47433694098097
"64",63,0.462830221729157
"65",64,0.451962365464774
"66",65,0.439939203634486
"67",66,0.427371101736817
"68",67,0.4143142799495
"69",68,0.401324311224982
"70",69,0.389018230455053
"71",70,0.377482563419407
"72",71,0.366206276572131
"73",72,0.354853563766788
"74",73,0.341634381060061
"75",74,0.327923446680407
"76",75,0.315343253888948
"77",76,0.303024889809364
"78",77,0.291487591712911
"79",78,0.277831349947639
"80",79,0.264507195532835
"81",80,0.252056149707408
"82",81,0.239537096231553
"83",82,0.227459120954189
"84",83,0.213371681630178
"85",84,0.199774382460256
"86",85,0.186652467541044
"87",86,0.171591534776908
"88",87,0.15861327493625
"89",88,0.143914070308014
"90",89,0.131176768074125
"91",90,0.117443105668953
"92",91,0.104738289316872
"93",92,0.0920221848267047
"94",93,0.0811569734131232
"95",94,0.0702151104161619
"96",95,0.0598278461103839
"97",96,0.0495582031485306
"98",97,0.037968994001724
"99",98,0.0271464181414709
"100",99,0.0141444370747241
"101",100,0
